Código,RNOS,Nombre,Tipo de cobertura,Provincia,Localidad,Sigla,Domicilio,Teléfono 1,Teléfono 2,Mail
800303,800303,OBRA SOCIAL PAPEL MISIONERO S.A.I.F. Y C.,Obra social,Misiones,CAPIOVI,null,PUERTO MINERAL - KM 1457 CAPIOVI,03743-493444,03743-493237,null
800105,800105,OBRA SOCIAL ATANOR S.A,Obra social,Buenos Aires,MUNRO,null,ALBARELLO 4914,4-721-3442,4-721-3440,btapia@atanorsa.com.ar
701002,701002,OBRA SOCIAL PARA EL PERSONAL MUNICIPAL DE TRES DE FEBRERO,Obra social,Buenos Aires,CASEROS,null,AMADEO SABATINI 4661/5,4734-7550,null,osppm3f@arnet.com.ar
700801,700801,OBRA SOCIAL DEL PERSONAL MUNICIPAL DE LA MATANZA,Obra social,Buenos Aires,SAN JUSTO,null,ALMAFUERTE 3160,4651-4441,4651-3347,ospmlm@tutopia.com
700108,700108,OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA,Obra social,Buenos Aires,AVELLANEDA (AVELLANEDA),null,LAPRIDA 70,4222-3965,4222-6178,ospma@hotmail.com.ar
603100,603100,ASOCIACION DE OBRAS SOCIALES DE TRELEW,Obra social,Chubut,TRELEW,null,CALLE SARMIENTO 426,02965-4-24583,null,null
602602,602602,ASOCIACION DE OBRAS SOCIALES DE SAN JORGE,Obra social,Santa Fe,SAN JORGE,null,EVA PERON 1301,03406-440604,03406-440873,null
602404,602404,ASOCIACION DE OBRAS SOCIALES DE RUFINO,Obra social,Santa Fe,RUFINO,null,GALAN 100,03382-429203,null,null
602305,602305,ASOCIACION DE OBRAS SOCIALES DE ROSARIO,Obra social,Santa Fe,ROSARIO,ADOS ROSARIO,SAN LUIS 1554 PISO 2 LOCAL 19,0341-4117765,null,null
601302,601302,ASOCIACION DE OBRAS SOCIALES DE MAR DEL PLATA,Obra social,Buenos Aires,MAR DEL PLATA  (MAR DEL PLATA),ADOS MAR DEL PLATA,25 DE MAYO 3139,0223-494-8490,null,adosmardelplata@hotmail.com
601203,601203,ASOCIACION DE OBRAS SOCIALES DE GUALEGUAY,Obra social,Entre Ríos,GUALEGUAYCHU,null,25 DE MAYO 530/38,03444-425070,03444-424006,null
601104,601104,ASOCIACION GUALEGUAYCHU DE OBRAS SOCIALES,Obra social,Entre Ríos,GUALEGUAYCHU,null,OLEGARIO V. ANDRADE 1057,03446-4-21370,03446-4-32666,null
600903,600903,ASOCIACION DE OBRAS SOCIALES DE ESPERANZA,Obra social,Santa Fe,ESPERANZA,ADOS ESPERANZA,RIVADAVIA 2499,03496-42-0713,03496-42-1361,null
600408,600408,ASOCIACION DE OBRAS SOCIALES DE COMODORO RIVADAVIA,Obra social,Chubut,COMODORO RIVADAVIA  (COMODORO RIVADAVIA),null,HIPOLITO YRIGOYEN 387,0297-4470022,0297-4463955,infoados@adoscomodoro.org.ar
600309,600309,ASOCIACION DE OBRAS SOCIALES DE BELLA VISTA,Obra social,Corrientes,BELLA VISTA,null,SALTA 801,03777-4-71400,null,null
510303,510303,OBRA SOCIAL DEL PERSONAL DE LA UNIVERSIDAD NACIONAL DEL CENTRO DE DE LA PROVINCIA DE BUENOS AIRES,Obra social,Buenos Aires,TANDIL,null,CALLE YRIGOYEN 566 PB,02293-431289,null,null
510204,510204,OBRA SOCIAL DE LA UNIVERSIDAD NACIONAL DEL LITORAL,Obra social,Santa Fe,SANTA FE,null,9 DE JULIO 2852,0342-4571184,0342-4571185,osunl@gigared.com
510105,510105,OBRA SOCIAL DEL PERSONAL DE LA UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO,Obra social,Chubut,COMODORO RIVADAVIA  (COMODORO RIVADAVIA),null,MITRE 837,0297-446-4444,null,obrasocial@dasu.com.ar
510006,510006,DIRECCION GENERAL DE ASISTENCIA M#DICA SOCIAL UNIVERSITARIA - SAN JUAN,Obra social,San Juan,SAN JUAN,null,RIVADAVIA 431 ESTE,0264-422-4318,0264-422-5194,null
500807,500807,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,PERU 169 PISO 10 (VER OBSERVACIONES),4-344-8500,null,null
402905,402905,OBRA SOCIAL DE DIRECCIÓN WITCEL,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,BARTOLOME MITRE 1371 5º DTO. P,4372-2096,4372-0538,null
402806,402806,OBRA SOCIAL DE DIRECCION DE LA ACTIVIDAD AEROCOMERCIAL PRIVADA,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,VENEZUELA 900,4-331-6556,null,atencionalbeneficiario@osdaap.com.ar
402707,402707,OBRA SOCIAL DE DIRECCION OSDO,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,SAN MARTIN 523 PISO 4 DTO H,4-393-5750 L.ROTATIV,4393-5644,OSDO@FIBERTEL.COM.AR
402608,402608,"OBRA SOCIAL ASOCIACION DE SERVICIOS SOCIALES PARA EMPRESARIOS Y PERSONAL DE DIRECCION DE EMPRESAS DEL COMERCIO, SERVICIOS, PRODUCCION, INDUSTRIA Y CIVIL (ASSPE)",Obra social,CABA,CIUDAD DE BUENOS AIRES,ASSPE,AV. LEANDRO ALEM 36 PISO 1§,5300-9026,5300-9095,null
402509,402509,OBRA SOCIAL YPF,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSYPF,MACACHA GUEMES 515 1º P,5071-1623,null,evitiellor@ypf.com
402400,402400,OBRA SOCIAL PARA EL PERSONAL DE DIRECCION DE LA INDUSTRIA VITIVINICOLA Y AFINES,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSEDEIV,CACHIMAYO 301,4-432-6372,4988-9440,osedeiv@infovia.com.ar
402301,402301,OBRA SOCIAL ASOCIACION DEL PERSONAL SUPERIOR DE LA ORGANIZACION TECHINT,Obra social,CABA,CIUDAD DE BUENOS AIRES,APSOT,CORDOBA 320 PISO 2,4-018-2500,0800-122-8778,apsot.consultas@apsot.com
402202,402202,OBRA SOCIAL MUTUALIDAD INDUSTRIAL TEXTIL ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSMITA,PARAGUAY 610 PISO 6,4-313-3111,null,info@osmita.com.ar
402103,402103,OBRA SOCIAL ASOCIACION DEL PERSONAL DE DIRECCION DE LA INDUSTRIA SIDERURGICA,Obra social,CABA,CIUDAD DE BUENOS AIRES,APDIS,AVDA. BELGRANO 367 PISO 5º,4-331-1043/49,null,null
402004,402004,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA SANIDAD LUIS PASTEUR,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSLPASTEUR,CALLAO 764/66,4-370-1000,null,info@oslpasteur.com.ar
401902,401902,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE PERFUMERIA E.W. HOPE,Obra social,CABA,CIUDAD DE BUENOS AIRES,WHOPE,AVDA. CORDOBA 1345 PISO 5,4815-0747,null,obrasocial@whope.com.ar
401803,401803,OBRA SOCIAL ASOCIACION MUTUAL DEL PERSONAL DE PHILIPS ARGENTINA (AMPAR),Obra social,CABA,CIUDAD DE BUENOS AIRES,AMPAR,VEDIA 3892,4-546-7781,4-546-7777,obrasocial.ampar@philips.com
401704,401704,"OBRA SOCIAL DE EMPRESARIOS, PROFESIONALES Y MONOTRIBUTISTAS",Obra social,CABA,CIUDAD DE BUENOS AIRES,OSDEPYM,RECONQUISTA 458 PISO 2,5-288-5600,null,info@osdepym.com.ar
401605,401605,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA PRIVADA DEL PETROLEO,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSDIPP,SAN MARTIN 439 PISO 3,5129-3900,null,gerencia.general@osdipp.com.ar
401308,401308,OBRA SOCIAL PARA EL PERSONAL DE DIRECCION DE LA INDUSTRIA MADERERA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSMAD,AVDA BELGRANO 748 PISO 10 OF. 103,4-331-9578,4-331-9580,null
401209,401209,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA METALURGICA Y DEMAS ACTIVIDADES EMPRESARIAS,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSIM,MONTEVIDEO 373 PISO 4§,410-6700,4-374-1000,osim@osim.com.ar
401100,401100,OBRA SOCIAL DEL PERSONAL DE DIRECCION ALFREDO FORTABAT,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,BOUCHARD 680 PISO 4,4-319-3000,4-319-3910,null
401001,401001,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LAS EMPRESAS QUE ACTUAN EN FRUTOS DEL PAIS,Obra social,CABA,CIUDAD DE BUENOS AIRES,FRUTOS,BALCARCE 880 PISO 1§,4 362-5025,4 362-5300,frutosdelpais@sion.com
400909,400909,OBRA SOCIAL ACCION SOCIAL DE EMPRESARIOS,Obra social,CABA,CIUDAD DE BUENOS AIRES,ASE,LIMA 87 PISO 9º,4-124-2800,4-1243005,ase@ase.com.ar
400800,400800,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECCION DE EMPRESAS,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSDE,AVDA. LEANDRO N. ALEM 1067 PISO 9,4-310-5000,0800-555-6733,gerencia@osde.com.ar
400701,400701,OBRA SOCIAL CAMARA DE LA INDUSTRIA CURTIDORA ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSCICA,AVDA. BELGRANO 3978,4-981-1816,4-981-4466,null
400602,400602,OBRA SOCIAL DEL PERSONAL DIRECTIVO DE LA INDUSTRIA DE LA CONSTRUCCION,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSDIC,AVDA. ROQUE SAENZ PE¥A 615 - PISO 3º - OF. 324,4-326-8870,4394-7133/4,null
400503,400503,OBRA SOCIAL ASOCIACION DEL PERSONAL DE DIRECCION Y JERARQUICO DE LA INDUSTRIA DEL CIGARRILLO,Obra social,CABA,CIUDAD DE BUENOS AIRES,APDJIC,LAVALLE N§ 445 PISO 4§,4-393-4393,null,apdjic@ba.net
400404,400404,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA CERVECERA Y MALTERA,Obra social,CABA,CIUDAD DE BUENOS AIRES,SERVESALUD,TUCUMAN 650 PISO 3,4-322-5224,0800-666-5020,sedece@servesalud.com.ar
400305,400305,"OBRA SOCIAL COOPERATIVA LTDA. DE ASISTENCIA MEDICA ,FARMACEUTICA,CREDITO, Y CONSUMO DEL PERSONAL SUPERIOR DE LA INDUSTRIA DEL CAUCHO Y OTRAS ACTIVIDADES INDUSTRIALES",Obra social,CABA,CIUDAD DE BUENOS AIRES,CAMPSIC,DR. EMILIO RAVIGNANI 2540,4-773-5835,null,info@oscampsic.com
400206,400206,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA AUTOMOTRIZ ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSPREME,PIEDRAS 1636/40,4307-7542,null,ospreme@speedy.com.ar
400107,400107,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LAS EMPRESAS DE LA ALIMENTACION Y DEMAS ACTIVIDADES EMPRESARIAS,Obra social,CABA,CIUDAD DE BUENOS AIRES,OPDEA,BERNANDO DE IRIGOYEN 540 PISO 2#,4-338-2400,null,info@opdea.org.ar
304003,304003,OBRA SOCIAL DE VOLKSWAGEN ARGENTINA S.A.,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,MAIPU 267 PISO 11,4-317-9000,4-317-9515,null
303901,303901,OBRA SOCIAL DE FORD AGENTINA S.C.A,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,AVDA DE MAYO 651,4-756-9238,4-756-9328,planmedi@ford.com
303703,303703,OBRA SOCIAL DEL PERSONAL DE PBBPOLISUR SA DE BAHIA BLANCA,Obra social,Buenos Aires,BAHIA BLANCA,null,ALMAFUERTE 29,0291-454-4824,0291-453-8208,ospbb@arnet.com.ar
303406,303406,OBRA SOCIAL DEL PERSONAL SHELL-CAPSA,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,AVDA. PTE. ROQUE SAENZ PE¥A 788,4-328-0444,4-328-0333,silvia_grucci@scapsa.shell.com
303307,303307,OBRA SOCIAL CABOT ARGENTINA,Obra social,Buenos Aires,CAMPANA,null,AVDA. ROCA 189,03489-4-24224,03487-4-26222,null
303109,303109,OBRA SOCIAL SUPERCO,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,CERRITO 1070 PISO 5 OF 95,4-811-4407,4-813-4584,ossuperco@speedy.com.ar
302809,302809,OBRA SOCIAL REFINERIAS DE MAIZ S.A.I.C.F.,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSRM,"CORDOBA 1345 PISO 16 DEPTO ""A""",null,4-815-0747,null
302601,302601,OBRA SOCIAL COOPERATIVA DE ASISTENCIA MUTUA Y TURISMO DEL PERSONAL DE LAS SOCIEDADES PIRELLI LTDA.,Obra social,CABA,CIUDAD DE BUENOS AIRES,COMPIR,PERGAMINO 402,4-612-1643,4-612-2799,compir@speedy.com.ar
302304,302304,OBRA SOCIAL COMPANIA MINERA AGUILAR S.A,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,CORDOBA 883 PISO 11,4-325-9930/33,null,null
302106,302106,"OBRA SOCIAL PARA DIRECTIVOS, TECNICOS Y EMPLEADOS DE JOHN DEERE ARGENTINA",Obra social,Santa Fe,GRANADERO BAIGORRIA,DITEM,JUAN ORSETTI 481,0341-4-101825,0341-4-718001,bue@aguilar-sulfacid.com
301509,301509,OBRA SOCIAL MUTUALIDAD EMPLEADOS FIRESTONE,Obra social,Buenos Aires,LLAVALLOL,null,ANTARTIDA ARGENTINA 2684,4-298-2984,null,null
300704,300704,OBRA SOCIAL CERAS JOHNSON,Obra social,Buenos Aires,PABLO PODESTA,JOHNSON,AV. MARQUEZ 2249,4-841-8242,4841-8000 INT 506,null
200400,200400,OBRA SOCIAL DEL PERSONAL DE LA EMPRESA NACIONAL DE CORREOS Y TELEGRAFOS S.A. Y DE LAS COMUNICACIONES DE LA REPULICA ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSPEC,MAIPU 39,4-343-0621/26,null,gergral@sinectis.com.ar
128409,128409,"OBRA SOCIAL DEL SINDICATO OBREROS Y EMPLEADOS DE EMPRESAS DE LIMPIEZA,SERVICIOS Y AFINES DE CORDOBA",Obra social,Córdoba,CORDOBA,OSSOELSAC,ENTRE RIOS 372,(0351) 4215431,(0351) 155181407,null
128201,128201,OBRA SOCIAL DEL SINDICATO UNICO DE RECOLECTORES DE RESIDUOS Y BARRIDO DE CORDOBA,Obra social,Córdoba,null,OSSURRBAC,LIMA 342,(0351)152072236,null,¿surrbacinstitucional@gmail.com
128102,128102,OBRA SOCIAL DE LA UNION DE TRABAJADORES DEL INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS DE LA REPUBLICA ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,PERU(1201-1800),5032-5000,null,null
128003,128003,OBRA SOCIAL DEL PERSONAL DE LA FEDERACION DE SINDICATOS DE LA INDUSTRIA QUIMICAS Y PETROQUIMICAS DE LA REPUBLICA ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,Pavón(2901-4400),4921-3725,null,festiqypra_tesoreria@live.com.ar
127901,127901,OBRA SOCIAL DE PETROLEROS PRIVADOS,Obra social,Neuquén,NEUQUEN,OS.PE.PRI,SANTA CRUZ 275,(0299)430-0902,(0299) 430-0910,mildepetroleo@speedy.com.ar
127802,127802,OBRA SOCIAL DE LUZ Y FUERZA DE LA PATAGONIA,Obra social,Chubut,COMODORO RIVADAVIA  (COMODORO RIVADAVIA),OSLYF PATAGONIA,MAIPU 1631,0297-4473213,0297-4464832,info@generarsalud.com.ar
127703,127703,"OBRA SOCIAL PERSONAL ESTACIONES DE SERVICIO,GARAGES,PLAYAS Y LAVADEROS DE LA PROVINCIA DEL CHACO",Obra social,Chaco,RESISTENCIA,OSPESCHA,JULIO A. ROCA 755,03722-444011,null,soesgypechaco@gigared.com
127604,127604,OBRA SOCIAL PARA EL PERSONAL DE OBRAS Y SERVICIOS SANITARIOS,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSOSS,AVELLANEDA 212 PISO 3,4 958-2002/04/6,0800-666-7805,presidencia@ososs.com.ar
127505,127505,OBRA SOCIAL DE LAS ASOCIACIONES DE EMPLEADOS DE FARMACIA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSADEF,RINCON 1035,4941-6330,4941-0003,null
127406,127406,OBRA SOCIAL DE OBREROS Y EMPLEADOS TINTOREROS SOMBREREROS Y LAVADEROS DE LA REPUBLICA ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSOETSYLARA,CULPINA 25/29,4-612-2000,4-612-3498,null
127307,127307,OBRA SOCIAL DE TRABAJADORES VIALES Y AFINES DE LA REPUBLICA ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,AVDA BELGRANO 768 PISO 6 L,4-342-5368,null,null
127208,127208,OBRA SOCIAL DE MANDOS MEDIOS DE TELECOMUNICACIONES EN LA REPUBLICA ARGENTINA Y MERCOSUR,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSMMEDT,BELGRANO 3810 1º,null,4-983-8880/8882,upjet@arnet.com.ar
127109,127109,OBRA SOCIAL DEL PERSONAL DE TELECOMUNICACIONES SINDICATO BUENOS AIRES,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSPETELCO,URUGUAY 362 1º,4-373-0311,4-3730311/0248,info@ospetelco.org
127000,127000,OBRA SOCIAL DE TRABAJADORES DE ESTACIONES DE SERVICIO,Obra social,Mendoza,GUAYMALLEN,OSTES,BANDERA DE LOS ANDES 239,0261-431-7309,0261-4326-292,null
126908,126908,OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS AIRES,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSMEDICA,HIPÓLITO YRIGOYEN 1264/1270,4-370-1777,5277-8300,obrasocial@osmedica.com.ar
126809,126809,OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL INSTANTE Y AFINES,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSCRAIA,CERRITO 228 1º B,4-381-2507,4381-6415,oscraia@live.com.ar
126700,126700,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD AZUCARERA TUCUMANA,Obra social,Tucumán,SAN MIGUEL DE TUCUMAN,null,CONGRESO DE TUCUMAN 341,0381-4225810,0381-4-205151,null
126601,126601,OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS QUIMICAS Y PETROQUIMICAS DE ZARATE CAMPANA,Obra social,Buenos Aires,ZARATE,OPZC,DR FELIX PAGOLA 1712,0387-4-20613,0387-4-22102,hadad@ba.net
126502,126502,OBRA SOCIAL DE LA CONFEDERACION DE OBREROS Y EMPLEADOS MUNICIPALES ARGENTINA (OSCOEMA),Obra social,Buenos Aires,AVELLANEDA (AVELLANEDA),OSCOEMA,MITRE 1601,4203-8856,null,oscoema@gmail.com
126304,126304,OBRA SOCIAL BANCARIA ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSBA,25 DE MAYO 182,4-340-7300,null,info@osba.com.ar
126205,126205,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSECAC,MORENO 648/50,4-331-1910/1919,4 331-2063,null
126106,126106,OBRA SOCIAL PARA LOS TRABAJADORES DE LA EDUCACION PRIVADA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSTEP,SALTA 534,4384-0017/18,4381-7637,ostep@infovia.com.ar
126007,126007,OBRA SOCIAL DE LA FEDERACION GREMIAL DE LA INDUSTRIA DE LA CARNE Y SUS DERIVADOS,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,HIPOLITO YRIGOYEN 746,4-378-9400,null,null
125905,125905,OBRA SOCIAL DE ARBITROS DEPORTIVOS DE LA REPUBLICA ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSADRA,VIAMONTE 1835,4021-9300 AL 9329,null,null
125707,125707,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PERSONAL CIVIL DE LA NACION,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSPCN,TUCUMAN 949,null,4-321-9400,info@unionpersonal.com.ar
125509,125509,OBRA SOCIAL DE LA FEDERACION ARGENTINA DEL TRABAJADOR DE LAS UNIVERSIDADES NACIONALES,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSFATUN,MEDRANO 843,4867-0816,4-863-2638,null
125301,125301,OBRA SOCIAL FEDERAL DE LA FEDERACION NACIONAL DE TRABAJADORES DE OBRAS SANITARIAS,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSFFENTOS,PASCO 580 - PB,5901-1005/7,5901-1009,osfentos@sinectis.com.ar
125103,125103,OBRA SOCIAL DE LOS PROFESIONALES UNIVERSITARIOS DEL AGUA Y LA ENERGIA ELECTRICA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSPUAYE,RECONQUISTA 1048 PISO 2,4-312-0409/06,4-312-1111,ospuaye@apuaye.org.ar
125004,125004,OBRA SOCIAL DE YACIMIENTOS CARBONIFEROS,Obra social,CABA,CIUDAD DE BUENOS AIRES,null,24 DE NOVIEMBRE 1126,4957-0882,0800-333-4204,null
124506,124506,OBRA SOCIAL DE TRABAJADORES DE LA INDUSTRIA DEL GAS,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSTIG,BOEDO 90,4-958-0230/1455,4-958-0700/4046,ostig@impsat 1.com.ar.
124001,124001,OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REPUBLICA ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSBARA,MEDRANO 167,4-958-7425,null,null
123909,123909,OBRA SOCIAL DE VENDEDORES AMBULANTES DE LA REPUBLICA ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSVARA,GALLO 443,4-866-5482,4-866-5478,null
123701,123701,OBRA SOCIAL DE PEONES DE TAXIS DE LA CAPITAL FEDERAL,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSPETAX,AVDA LA PLATA 1554/60/62/64,4-920-7000,4-920-7100,sindicato taxis@speedy.com.ar
123602,123602,OBRA SOCIAL DE TRABAJADORES DE PERKINS ARGENTINA S.A.I.C,Obra social,Córdoba,CORDOBA,OSTP,ROQUE SAENZ PEÑA 1377,0351-4-715738,0351-4713240,obrasocialperkins@hotmail.com
123503,123503,OBRA SOCIAL DEL PERSONAL DE PRENSA DE TUCUMAN,Obra social,Tucumán,SAN MIGUEL DE TUCUMAN,OSPRENTUC,JUNIN 775,0381-431-0941,0381-430-5567,osprentuc@yahoo.com
123404,123404,OBRA SOCIAL DEL PERSONAL DE PRENSA DE ROSARIO,Obra social,Santa Fe,ROSARIO,OSPRO,JUAN MANUEL DE ROSAS 958,0341-4-445918,0341-4-408292,ospro@arnet.com.ar
123305,123305,OBRA SOCIAL DEL PERSONAL DE SOCIEDADES DE AUTORES Y AFINES,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSPESA,LAVALLE 1576 PISO 1,4-374-4452/4863,4-373-1140,ospesa@infovia.com.ar
123107,123107,OBRA SOCIAL DE TALLERISTAS A DOMICILIO,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSTAD,ACEVEDO 553,4-854-4708,4-854-3506,null
