401100	OBRA SOCIAL DEL PERSONAL DE DIRECCION ALFREDO FORTABAT                                                                                                                                                  	                  	CECILIA GRIERSON 355  3 Y 4 PISO                  	1107	CAPITAL FEDERAL               	4319-9879
401209	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA METALURGICA  Y DEMAS ACTIVIDADES EMPRESARIAS                                                                                                      	OSIM              	MONTEVIDEO 373 PISO 4º                            	1019	CAPITAL FEDERAL               	                    	osim@osim.com.ar	www.osim.com.ar
401308	OBRA SOCIAL PARA EL PERSONAL DE DIRECCION DE LA INDUSTRIA MADERERA                                                                                                                                      	OSMAD             	AVDA BELGRANO 748 PISO 10 OF. 103                 	1092	CAPITAL FEDERAL               	                    		www.osmad.org.ar
401605	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA PRIVADA DEL PETROLEO                                                                                                                              	OSDIPP            	RIVADAVIA 969 PISO 3 A                            	1002	CAPITAL FEDERAL               	                    	gerencia.general@osdipp.com.ar	www.osdipp.com.ar
401704	OBRA SOCIAL  DE EMPRESARIOS, PROFESIONALES Y MONOTRIBUTISTAS                                                                                                                                            	OSDEPYM           	RECONQUISTA 458 PISO 2                            	1003	CAPITAL FEDERAL               	                    	info@osdepym.com.ar	www.osdepym.com.ar
401803	OBRA SOCIAL ASOCIACION MUTUAL DEL PERSONAL DE PHILIPS ARGENTINA (AMPAR)                                                                                                                                 	AMPAR             	VEDIA 3892                                        	1430	CAPITAL FEDERAL               	                    	obrasocial.ampar@philips.com	www.ampar.org
401902	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE PERFUMERIA E.W. HOPE                                                                                                                                           	WHOPE             	AVDA. CORDOBA 1345 PISO 5                         	1055	CAPITAL FEDERAL               	0800-333-34673      	obrasocial@whope.com.ar	www.whope.com.ar
402004	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE SANIDAD LUIS PASTEUR                                                                                                                                           	OSLPASTEUR        	CALLAO 764/66                                     	1023	CAPITAL FEDERAL               	                    	info@oslpasteur.com.ar	www.oslpasteur.com.ar
402103	OBRA SOCIAL ASOCIACION DEL PERSONAL DE DIRECCION DE LA INDUSTRIA SIDERURGICA                                                                                                                            	APDIS             	GORRITI 6046 - 5° PISO - OF 506/507/508           	1414	CAPITAL FEDERAL               	                    	info@apdis.com.ar	www.apdis.com.ar
402202	OBRA SOCIAL MUTUALIDAD INDUSTRIAL TEXTIL ARGENTINA                                                                                                                                                      	OSMITA            	PARAGUAY 610 PISO 6                               	1057	CAPITAL FEDERAL               	0800-888-6482       	info@osmita.com.ar	www.osmita.com.ar
402301	OBRA SOCIAL ASOCIACION DEL PERSONAL SUPERIOR DE LA ORGANIZACION TECHINT                                                                                                                                 	APSOT             	CORDOBA 320 PISO 2                                	1054	CAPITAL FEDERAL               	0800-122-8778       	apsot.consultas@apsot.com	www.apsot.com
402400	OBRA SOCIAL PARA EL PERSONAL DE DIRECCION DE LA INDUSTRIA VITIVINICOLA Y AFINES                                                                                                                         	OSEDEIV           	AV. CASEROS 3563 1º PISO                          	1263	CAPITAL FEDERAL               	                    	osedeiv@osedeiv.com.ar	www.osedeiv.com.ar
402509	OBRA SOCIAL YPF                                                                                                                                                                                         	OSYPF             	MACACHA GUEMES 515 1º P                           	1041	CAPITAL FEDERAL               	                    	evitiellor@ypf.com	www.osypf.com
402608	OBRA SOCIAL ASOCIACION DE SERVICIOS SOCIALES PARA EMPRESARIOS Y PERSONAL DE DIRECCION DE EMPRESAS DEL COMERCIO, SERVICIOS, PRODUCCION, INDUSTRIA Y CIVIL (ASSPE )                                       	ASSPE             	BARTOLOME MITRE 1399                              	1312	CAPITAL FEDERAL               	0800-345-7332       	info@asspefideicomiso.com.ar	www.asspe.com.ar
402707	OBRA SOCIAL DE DIRECCION OSDO                                                                                                                                                                           	                  	AVDA. LUIS MARUA CAMPOS 46 PISO 8                 	1425	CAPITAL FEDERAL               	0800-5556736        	info@osdo.com.ar	WWW.OSDO.COM.AR
402806	OBRA SOCIAL DE DIRECCION DE LA ACTIVIDAD AEROCOMERCIAL  PRIVADA                                                                                                                                         	                  	VENEZUELA 900                                     	1095	CAPITAL FEDERAL               	0800-222-0034       	atencionalbeneficiario@osdaap.com.ar	www.osdaap.com.ar
