Agentes del Seguro de otra Naturaleza.
Listado descargado el dï¿½a 09-05-2025 16:27

RNAS	denominacion	sigla	domicilio	localidad	cp	provincia	telefono	otros_telefonos	e_mail	web	
0	ASOCIACION MUTUAL SANCOR                                                                                                                                                                                	                  	25 DE MAYO 201                                    	2322	SANTA FE                      	                    	andrea.gueli@sancorsalud.com.ar
1607	OBRA SOCIAL DEL SINDICATO UNIDO DE TRABAJADORES DE LA INDUSTRIA DE AGUAS GASEOSAS DE LA PROVINCIA DE SANTA FE                                                                                           	                  	SARMIENTO 2225                                    	2000	SANTA FE                      	                    	sutiagarosario@arnetbiz.com.ar
1706	OBRA SOCIAL DEL PERSONAL JERARQUICO DE LA REPUBLICA ARGENTINA PARA EL PERSONAL JERARQUICO DE LA INDUSTRIA GRAFICA Y EL PERSONAL JERARQUICO DEL AGUA Y LA ENERGIA                                        	OSJERA            	MORENO 1142 PLANTA BAJA                           	1091	CAPITAL FEDERAL               	0810-345-6753       	central@ospjera.com.ar	www.osjera.com.ar
1805	OBRA SOCIAL DE LOS  LEGISLADORES DE LA REPUBLICA ARGENTINA                                                                                                                                              	OSLERA            	MEXICO 565                                        	1097	CAPITAL FEDERAL               	0800-444-3423       	oslera@clnoslera.com.ar	www.clnoslera.com.ar
1904	OBRA SOCIAL DE FEDECAMARAS                                                                                                                                                                              	FEDECAMARAS       	RIVADAVIA 5456 1 PISO GALERIA ASTRO               	1424	CAPITAL FEDERAL               	0800-345-3553       	info@osfedecamaras.com.ar	www.osfedecamaras.com.ar
2105	OBRA SOCIAL PROFESIONALES DEL TURF DE LA REPUBLICA ARGENTINA                                                                                                                                            	OSPROTURA         	PANAMA 950                                        	1640	BUENOS AIRES                  	                    	osprotura@gremialdelturf.com.ar
2204	OBRA SOCIAL DE EMPLEADOS Y PERSONAL JERARQUICO  DE LA ACTIVIDAD DEL  NEUMATICO ARGENTINO DE NEUMATICOS GOOD YEAR SRL                                                                                    	                  	MANUEL OCAMPO 1201                                	1686	BUENOS AIRES                  	0800-333-2820       	DIR MED DR.FERNANDO A SAN CRISTOBAL (MN	www.osejana.com.ar
2303	OBRA SOCIAL PARA EL  PERSONAL DE EMPRESAS DE  LIMPIEZA, SERVICIOS Y MAESTRANZA DE MENDOZA                                                                                                               	                  	MONTEVIDEO 270                                    	5500	MENDOZA                       	0800-666-5579       	ospelsym@ospelsym.com.ar	www.ospelsym.com.ar
2402	OBRA SOCIAL DEL PERSONAL JERARQUICO DEL TRANSPORTE AUTOMOTOR DE PASAJEROS DE CORDOBA Y AFINES                                                                                                           	                  	CASEROS Nº 636                                    	5000	CORDOBA                       	                    		www.ospjtap.com.ar
2501	OBRA SOCIAL DE MINISTROS, SECRETARIOS Y SUBSECRETARIOS                                                                                                                                                  	OSMISS            	ADOLFO ALSINA 943 PISO 2                          	1088	CAPITAL FEDERAL               	0800-3336373        	gerencia.administracion@osmiss.org.ar	www.osmiss.org.ar
2600	OBRA SOCIAL DE LOS TRABAJADORES DE LA CARNE Y AFINES DE LA REPUBLICA ARGENTINA                                                                                                                          	O.S.T.C.A.R.A.    	PARANA 749 2º A                                   	1017	CAPITAL FEDERAL               	                    	secretaria@ostcara.org.ar
2709	OBRA SOCIAL DE LOS TRABAJADORES ASOCIADOS A LA ASOCIACION MUTUAL MERCANTIL ARGENTINA                                                                                                                    	OSTAMMA           	AV. SABATTINI 93                                  	5900	CORDOBA                       	0800-77702662       	ostamma@amma.org.ar	www.ostamma.org.ar
2808	OBRA SOCIAL DE LA CAMARA DE EMPRESARIOS DE AGENCIAS DE REMISES DE ARGENTINA                                                                                                                             	                  	CALLE RIVADAVIA Y 1ERO. DE MAYO                   	6634	BUENOS AIRES                  	                    	info@osceara.com.ar
2907	OBRA SOCIAL ASOCIACION MUTUAL METALURGICA VILLA CONSTITUCION                                                                                                                                            	OSAMMVC           	JUAN MANUEL DE ROSAS 710 - PLANTA ALTA -          	2919	SANTA FE                      	                    	osammvc@cablenet.com.ar
3009	OBRA SOCIAL DEL PERSONAL ASOCIADO A ASOCIACION MUTUAL SANCOR                                                                                                                                            	O.S.PERS.A.A.M.S. 	SARMIENTO 811 PISO 4 OFICINA 1                    	1041	CAPITAL FEDERAL               	                    	ospersaams@sancorsalud.com.ar
3108	OBRA SOCIAL DE LOS INMIGRANTES ESPAÑOLES Y SUS DESCENDIENTES RESIDENTES EN LA REPUBLICA ARGENTINA                                                                                                       	OSPAÑA            	VENEZUELA 1162 PB                                 	1095	CAPITAL FEDERAL               	0800-999-0000       	ricciardi@ospana.com.ar	www.ospana.com.ar
3207	OBRA SOCIAL DE TRABAJADORES SOCIOS DE LA ASOCIACION MUTUAL DEL PERSONAL JERARQUICO DE BANCOS OFICIALES NACIONALES-JERARQUICOS SALUD-                                                                    	                  	AV FACUNDO ZUVIRIA 4584                           	3000	SANTA FE                      	0800-555-4844       	obrasocialpmo@jerarquicossalud.com.ar	www.jerarquicos.com
3306	OBRA SOCIAL DE TRABAJADORES VENDEDORES DE DIARIOS REVISTAS Y AFINES                                                                                                                                     	OSTVENDRA         	TUCUMAN Nº 456                                    	1049	CAPITAL FEDERAL               	                    	auditoriamedica@ostvendra.org.ar
3405	OBRA SOCIAL ASOCIACION  MUTUAL DE LOS OBREROS CATOLICOS PADRE FEDERICO GROTE                                                                                                                            	O.S.A.M.O.C       	BILLINGHURST 1669                                 	1425	CAPITAL FEDERAL               	0810-555-6726       	prestaciones@osamoc.ar
3504	OBRA SOCIAL DE CONDUCTORES TITULARES DE TAXIS DE LA CIUDAD AUTONOMA DE BUENOS AIRES                                                                                                                     	O.S.TAX.B.A       	FRAGATA PRESIDENTE SARMIENTO 661                  	1416	CAPITAL FEDERAL
3603	OBRA SOCIAL PROGRAMAS MEDICOS SOCIEDAD ARGENTINA DE CONSULTORIA MUTUAL                                                                                                                                  	                  	ESPAÑA 160 PISO 2                                 	1832	BUENOS AIRES                  	0800-345-7764       	os.info@osprogmed.com.ar	www.osprogmed.com.ar
3702	OBRA SOCIAL  YACIMIENTOS CARBONIFEROS                                                                                                                                                                   	OSYC              	24 DE NOVIEMBRE 1126                              	1224	CAPITAL FEDERAL               	                    	CENTRAL@OSYC.ORG.AR	RES. 626/12 -12/7/12-SE RECTIFICA ART.1-DENOMINAC
3801	OBRA SOCIAL  DE LA PREVENCION Y LA SALUD                                                                                                                                                                	                  	AVDA CALLAO 625 PISO 3                            	1022	CAPITAL FEDERAL
3900	OBRA SOCIAL DE TECNICOS DE VUELO DE LINEAS AEREAS                                                                                                                                                       	OSTVLA            	VICTOR HUGO 369                                   	1407	CAPITAL FEDERAL               	                    	obrasocial@tecnicosdevuelo.org.ar	www.tecnicosdevuelo.org.ar
4002	OBRA SOCIAL PARA EMPLEADOS Y PRODUCTORES DE ENTIDADES DE LA ACTIVIDAD AGROPECUARIA Y AGROALIMENTARIA DE LA ECONOMIA SOCIAL                                                                              	                  	CORRIENTES 878 - 4º PISO                          	1043	CAPITAL FEDERAL               	                    	atención@ospedeaa.com.ar
